candidate_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,seed,heldout_corner,query_order
50,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.9741046778727587,120.58238978341998,0.04265612966775008,0.05571047088445848,ff,5,ff,1
59,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.9292680859660167,-24.075464288274112,0.1192040597322229,0.06963174685569753,ff,5,ff,2
5,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.8098376558570288,116.18179090355906,10.00972943076294,0.022188808369698453,ff,5,ff,3
11,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.9482030972134643,-4.564495439389681,3.0690766310990463,0.014753212300577294,ff,5,ff,4
75,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.7769841234929147,117.70497890114856,1.4324424327553882,0.02428808577371604,ff,5,ff,5
83,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.6654536444184664,76.90104638422152,10.386831522204801,0.1774773316893486,ff,5,ff,6
17,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.8939640255050807,-6.583189398500529,10.546702807905433,0.009547464597974564,ff,5,ff,7
18,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.9680202151511383,123.23484037240084,9.422703797315485,0.045601625608917055,ff,5,ff,8
86,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.6580890146579608,61.66245043828957,11.860709452867814,0.038899075537876984,ff,5,ff,9
93,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.9437253140911248,-21.271947198401858,11.317800763491853,0.016946834786629356,ff,5,ff,10
29,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.9731322631804884,36.41874133240421,11.17507815638454,0.10199900360358773,ff,5,ff,11
31,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.834651650978246,108.06223540171794,1.1287128693158277,0.17692486640639407,ff,5,ff,12
60,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.8550087548212897,111.88856359792163,10.262653638789294,0.19975600122144,ff,5,ff,13
69,SKY130,130,OAI21,OAI21_4,O21AI_4,4,"A1_to_Y__A2=0,B1=1",1,3,24,7.800000000000002,12.0,1.6321766295603188,32.72718495181739,3.9587462564117666,0.006717924572876845,ff,5,ff,14
41,SKY130,130,XOR2,XOR2_1,XOR2_1,1,A_to_X__B=0,0,2,10,3.25,5.0,1.790290443872426,36.16213617185218,11.672388176943207,0.1994185366582413,ff,5,ff,15
43,SKY130,130,XOR2,XOR2_4,XOR2_4,4,A_to_X__B=0,0,2,40,13.000000000000004,20.0,1.8674174642971382,-8.423490160297415,0.08216510809711274,0.19597508527264207,ff,5,ff,16
48,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.6959263962587752,33.548281667233425,10.107226992910483,0.15017603461987494,ff,5,ff,17
57,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.672756685618305,69.28337898099007,8.735208119499923,0.20568207615346573,ff,5,ff,18
4,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.9645393672935743,-7.185105286978768,1.5621642157674818,0.1369391954388004,ff,5,ff,19
9,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.695301594380526,95.0187399980313,10.940901882939938,0.09707794980943092,ff,5,ff,20
77,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.9027358935815277,-20.241621144700353,6.662519189031653,0.1606502549401011,ff,5,ff,21
81,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.9260811251536865,-16.3408069331401,7.91490767469219,0.028135326549308694,ff,5,ff,22
15,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.8290930460294774,72.574802337403,4.230261614521797,0.17987352302998397,ff,5,ff,23
23,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.9083484904911838,-12.973560394105743,2.7267131803751075,0.1985055361614187,ff,5,ff,24
88,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.9476191503945182,7.973676486112836,6.305747609848946,0.19549327104920974,ff,5,ff,25
91,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.6633416824491711,57.10382649270878,0.31778367821487746,0.166175203067237,ff,5,ff,26
24,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.6548147920785996,60.73358445869903,1.3493532262920944,0.15232394175051664,ff,5,ff,27
33,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.7349852999962305,38.17944245969187,11.474461381216882,0.001949657159255091,ff,5,ff,28
64,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.637457536107657,91.47024173171627,5.265424548893112,0.02544644109647471,ff,5,ff,29
71,SKY130,130,OAI21,OAI21_4,O21AI_4,4,"A1_to_Y__A2=0,B1=1",1,3,24,7.800000000000002,12.0,1.9467591306808096,-7.54881416122528,4.524266850323814,0.18663860372024596,ff,5,ff,30
38,SKY130,130,XOR2,XOR2_1,XOR2_1,1,A_to_X__B=0,0,2,10,3.25,5.0,1.8912824346844594,111.03912698885296,7.287625356195831,0.02633119982145306,ff,5,ff,31
47,SKY130,130,XOR2,XOR2_4,XOR2_4,4,A_to_X__B=0,0,2,40,13.000000000000004,20.0,1.6795642922829959,77.91806044384529,7.857245107406298,0.026010872757814295,ff,5,ff,32
51,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.8067845126300954,-36.809807635218874,3.4665308701960846,0.0123022358242669,ff,5,ff,33
58,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.7142785804783973,104.0094490327138,2.2693867639695755,0.0015515463757679536,ff,5,ff,34
1,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.6214620116664857,31.513657150972534,8.622851324752494,0.20109144200258613,ff,5,ff,35
6,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.82807876080347,69.42002451715891,1.3990238952214662,0.17997205371276975,ff,5,ff,36
74,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.6278218515420317,32.41578398568379,9.36482768266381,0.06682847895707464,ff,5,ff,37
79,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.855650941534737,45.21969526766851,2.1217709483542357,0.17031245617536278,ff,5,ff,38
16,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.6610707136279548,100.58704437477579,8.36468828713998,0.06690790150874652,ff,5,ff,39
22,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.6655967485996035,90.95009749586094,1.972768037944339,0.1355742037875411,ff,5,ff,40
87,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.8543685670395307,31.091221197064172,2.520926897971227,0.026163319420138022,ff,5,ff,41
90,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.7993746115815061,91.60016634442732,9.996194295883772,0.09979800295101753,ff,5,ff,42
25,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.744871427044349,77.43314649468851,8.016071140385591,0.01497050585501556,ff,5,ff,43
35,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.8860026157850807,-0.33511580144675435,2.1128969539427525,0.08106593006635492,ff,5,ff,44
63,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.8849169816210565,4.162124870793477,1.8766726634240076,0.09827426927056951,ff,5,ff,45
70,SKY130,130,OAI21,OAI21_4,O21AI_4,4,"A1_to_Y__A2=0,B1=1",1,3,24,7.800000000000002,12.0,1.7938886219087269,112.28305127319334,1.966994436503985,0.1573380762008898,ff,5,ff,46
39,SKY130,130,XOR2,XOR2_1,XOR2_1,1,A_to_X__B=0,0,2,10,3.25,5.0,1.9318998258369784,-6.819644010166677,1.0812592380768673,0.14130699958304185,ff,5,ff,47
46,SKY130,130,XOR2,XOR2_4,XOR2_4,4,A_to_X__B=0,0,2,40,13.000000000000004,20.0,1.9239882692655108,16.795642448487932,11.274925538347173,0.12421491959836284,ff,5,ff,48
49,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.8702980948098953,68.6598290279427,5.657260999189428,0.1336267168165485,ff,5,ff,49
55,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.8827548555529716,-5.533361864883794,11.32807753605057,0.06337438519916873,ff,5,ff,50
3,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.7978753413562754,-31.58811532538118,3.52453334825283,0.07901103908267108,ff,5,ff,51
7,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.8918132164483383,-30.371708299196143,9.807176732539826,0.14718612691087937,ff,5,ff,52
73,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.6934631312802377,89.45479538950104,4.362233986501783,0.2027438448624726,ff,5,ff,53
78,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.725024279618698,120.7551252694966,9.166686530517472,0.049800513353731805,ff,5,ff,54
12,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.7998006965623374,-26.369872872037114,0.6137791999149409,0.09594115536189758,ff,5,ff,55
20,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.7977224052679779,10.919478768887693,10.636114490502782,0.15038179041436972,ff,5,ff,56
89,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.8684536830487815,117.51092494606681,5.462083009037383,0.14941155074338255,ff,5,ff,57
95,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.8356235320573573,25.065420037254214,2.5528676946918627,0.052641429322590555,ff,5,ff,58
27,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.8965753349769061,-31.19388099716016,7.850586733901667,0.17296883113424355,ff,5,ff,59
32,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.7539749302876007,95.38263678226699,9.940294741419208,0.1575331490290089,ff,5,ff,60
61,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.9455350301474463,49.18705819927858,6.794728725344351,0.06810651454292141,ff,5,ff,61
68,SKY130,130,OAI21,OAI21_4,O21AI_4,4,"A1_to_Y__A2=0,B1=1",1,3,24,7.800000000000002,12.0,1.9048758021912855,-33.22549421495509,10.183806315119893,0.06379612071486179,ff,5,ff,62
37,SKY130,130,XOR2,XOR2_1,XOR2_1,1,A_to_X__B=0,0,2,10,3.25,5.0,1.630649110367199,84.43858008350705,4.3713421735647415,0.12624885121372162,ff,5,ff,63
42,SKY130,130,XOR2,XOR2_4,XOR2_4,4,A_to_X__B=0,0,2,40,13.000000000000004,20.0,1.6937892606650813,113.93728177682047,2.2831008455493365,0.04252658144755361,ff,5,ff,64
52,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.6609360010431353,85.80527919060374,6.30858644140343,0.1978836827124351,ff,5,ff,65
54,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.8345581755247014,31.566582796148978,4.145527696719116,0.10606681285651322,ff,5,ff,66
0,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.8883647860150858,83.89943445415206,4.849580136253856,0.06825274462889637,ff,5,ff,67
10,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.635720645584062,19.109315747649923,5.947730058806061,0.10593192921389831,ff,5,ff,68
76,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.9407259312520566,47.379472698604886,10.691823351253406,0.09392656018844664,ff,5,ff,69
82,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.777983092131422,37.9384867102616,4.630047697849895,0.09239369877299695,ff,5,ff,70
14,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.9358189130441834,20.948800248084723,3.2847914794302198,0.16526610913342094,ff,5,ff,71
21,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.8526476166629664,39.410222139028875,7.158464638086634,0.03146376104607748,ff,5,ff,72
85,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.793829594976164,-24.84636476445812,0.6167647555899545,0.12249370847412354,ff,5,ff,73
94,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.6954121303145802,120.79684009240603,5.294695262569918,0.17223918372401406,ff,5,ff,74
26,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.7359189004381401,-7.076159362432264,4.519125319584818,0.05529665155907912,ff,5,ff,75
30,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.6297409678794639,-13.102535361405657,5.550157104923239,0.05650255300102295,ff,5,ff,76
65,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.776595245479009,40.826339022036606,8.983884205193483,0.16689965192152345,ff,5,ff,77
67,SKY130,130,OAI21,OAI21_4,O21AI_4,4,"A1_to_Y__A2=0,B1=1",1,3,24,7.800000000000002,12.0,1.8353996024193173,52.337703554583214,8.708321177388985,0.12041146214841321,ff,5,ff,78
36,SKY130,130,XOR2,XOR2_1,XOR2_1,1,A_to_X__B=0,0,2,10,3.25,5.0,1.7105928321608899,-25.41077109477797,2.0218965246859364,0.1018758347047805,ff,5,ff,79
45,SKY130,130,XOR2,XOR2_4,XOR2_4,4,A_to_X__B=0,0,2,40,13.000000000000004,20.0,1.830791706733475,-31.32323612024554,8.754303021076666,0.1560962784897712,ff,5,ff,80
53,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.775776250953179,5.012625012344152,8.785770467157933,0.08518833585573768,ff,5,ff,81
56,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.79319517494086,86.9440591816176,6.621191399233261,0.1519800366343657,ff,5,ff,82
2,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.7083383430800154,45.63403130746866,7.247126079045017,0.1567081995126738,ff,5,ff,83
8,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.774506941903394,109.65796008546806,7.4105902619882125,0.06645099406650008,ff,5,ff,84
72,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.8041692001916463,-8.903502979851108,3.846659704153151,0.1285841490559579,ff,5,ff,85
80,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.9171914247976471,6.131278713019569,1.1142553304319984,0.12774320951652535,ff,5,ff,86
13,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.7382032022550507,45.52918456582191,6.150509161669905,0.13202381114237283,ff,5,ff,87
19,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.7053182032207055,50.59592865880208,5.468452652380671,0.0921343155370963,ff,5,ff,88
84,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.7155546125273924,71.54468220097314,9.47549540360304,0.0818118535928837,ff,5,ff,89
92,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.9083711168394442,14.900028149574418,6.373874377683892,0.13395164198106954,ff,5,ff,90
28,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.8106780837938938,114.77295911309261,2.1332924214053084,0.10968942653878841,ff,5,ff,91
34,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.97065461749039,53.89206088163458,7.412564262658832,0.12106340658207214,ff,5,ff,92
62,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.7197263179982782,-15.643707539428341,3.679705149633869,0.11011621635451338,ff,5,ff,93
66,SKY130,130,OAI21,OAI21_4,O21AI_4,4,"A1_to_Y__A2=0,B1=1",1,3,24,7.800000000000002,12.0,1.695115968172885,94.1752832800774,6.61943605413377,0.08074388751063753,ff,5,ff,94
40,SKY130,130,XOR2,XOR2_1,XOR2_1,1,A_to_X__B=0,0,2,10,3.25,5.0,1.8269992349686328,58.98519920084962,8.536043223304928,0.03670275418809977,ff,5,ff,95
44,SKY130,130,XOR2,XOR2_4,XOR2_4,4,A_to_X__B=0,0,2,40,13.000000000000004,20.0,1.7486902734976184,54.90578465633838,4.204653808540512,0.07349297074379434,ff,5,ff,96
