seed,heldout_corner,support_budget,prequential_delay_nmae,prediction_change_nmae,coverage_radius_ratio
0,typical,0,,,1.0
0,typical,16,0.19931873733788427,0.16680121805448322,0.7939064162111494
0,typical,32,0.3088277038195954,0.11438361707134202,0.779557424369238
0,typical,48,0.37714112331956645,0.12284710891684732,0.5591675976094126
0,typical,64,0.22365525726021124,0.02993283143193324,0.40858745078142705
0,typical,80,0.19890266962080053,0.037808776992134314,0.3614948639288844
0,typical,96,0.18603039454387188,0.018654435374962256,0.0
0,ff,0,,,1.0
0,ff,16,0.5565253199631781,0.17199108291172926,0.8880662437322933
0,ff,32,0.30905473934586614,0.08405879282830162,0.6149324469977289
0,ff,48,0.24252545786349558,0.05055144492682103,0.5195679718443508
0,ff,64,0.2051215005235224,0.026914725925294324,0.4172665012601266
0,ff,80,0.1725456702535645,0.015277388072032735,0.31198684990183884
0,ff,96,0.1305512921791629,0.012704310830810006,0.0
0,ss,0,,,1.0
0,ss,16,0.8742411800311389,0.40211960257018375,0.9611388592507392
0,ss,32,0.4530402372467954,0.18454004809648822,0.7959750806548377
0,ss,48,0.420658222114601,0.1105206505597311,0.567772418014872
0,ss,64,0.22517312759850233,0.029200193153290963,0.5620686570496072
0,ss,80,0.42114128437107906,0.04431611209311239,0.44412843718045986
0,ss,96,0.2357392241755361,0.02191671533828762,0.0
1,typical,0,,,1.0
1,typical,16,0.20582719245200617,0.0724601088033806,0.9735757358165578
1,typical,32,0.24733172144734558,0.0634270239182338,0.6966980056104976
1,typical,48,0.2419559086939319,0.042208042216057326,0.5422878195406557
1,typical,64,0.21533532776864603,0.035689916345292436,0.4310233045235684
1,typical,80,0.17707938201375412,0.023304908216144653,0.40076715674314145
1,typical,96,0.11022554140845331,0.01320621461553673,0.0
1,ff,0,,,1.0
1,ff,16,0.5339603010975824,0.17165176503857055,1.024373924135711
1,ff,32,0.3251056912710771,0.09282897969531417,0.6065499326613282
1,ff,48,0.29412157949763984,0.049960907389148115,0.5084706889872479
1,ff,64,0.14742385354264814,0.021320112237456872,0.45799290583405017
1,ff,80,0.14243123416465053,0.01969363186675437,0.4192999018328716
1,ff,96,0.11043430350216407,0.01181686005382426,0.0
1,ss,0,,,1.0
1,ss,16,0.7076334826446925,0.2531584485551792,0.8164642788937257
1,ss,32,0.7079237772713755,0.2163785970127705,0.5580013273105965
1,ss,48,0.42205046677337665,0.14897818884775635,0.5079668423243476
1,ss,64,0.31242450463049726,0.06491901519126639,0.38664141662065904
1,ss,80,0.18010268654474523,0.028884868358529745,0.35626483252573826
1,ss,96,0.25985515851621377,0.022670828182714545,0.0
2,typical,0,,,1.0
2,typical,16,0.2635147849254056,0.08861779689971576,0.8843000881861814
2,typical,32,0.21114173461107272,0.0431247323045337,0.5645009520614893
2,typical,48,0.21409618679452455,0.05639110591582723,0.5389443286516479
2,typical,64,0.1513465516898866,0.03168173336751852,0.41188678701982867
2,typical,80,0.23592630965264008,0.022816826552137758,0.3201876306503026
2,typical,96,0.13102150017215897,0.01441669041418695,0.0
2,ff,0,,,1.0
2,ff,16,0.39114261739908973,0.10999716755637619,0.8772850596186768
2,ff,32,0.4016310671473077,0.09260303631360639,0.6038720287789959
2,ff,48,0.22958438224227262,0.0432510611110582,0.5230771484260429
2,ff,64,0.21000675328791904,0.01635737015044299,0.5163861619708517
2,ff,80,0.1960662288707647,0.014820834931027923,0.3745832067760768
2,ff,96,0.10026971527945638,0.01047216016263348,0.0
2,ss,0,,,1.0
2,ss,16,0.7165467345163493,0.19172709114035463,0.8115790669406413
2,ss,32,0.6096591109022939,0.17217924176834068,0.6084704025671013
2,ss,48,0.3071523978388713,0.07187444932284301,0.579393405902423
2,ss,64,0.34422895266442255,0.05792484341952972,0.47481168655672673
2,ss,80,0.24936864392887503,0.03474445127563617,0.38754371425394746
2,ss,96,0.23070294376706182,0.021768781876548182,0.0
3,typical,0,,,1.0
3,typical,16,0.1952254311464261,0.09980570891331196,0.9126003902740485
3,typical,32,0.35264171877223155,0.211039080337023,0.6434925053181688
3,typical,48,0.26238313531008967,0.09161994165266378,0.5757525841759749
3,typical,64,0.17583782591399916,0.01858240476314155,0.4801551084427576
3,typical,80,0.19679125600235436,0.015288916069484865,0.35594082670699784
3,typical,96,0.1415915620318687,0.01206947417083577,0.0
3,ff,0,,,1.0
3,ff,16,0.45349831068941304,0.16661508954691703,0.8629629749232145
3,ff,32,0.305997315822149,0.10188799672591932,0.6524570326659487
3,ff,48,0.21853795496266104,0.058028024068224146,0.5225386284965893
3,ff,64,0.17471141627877382,0.019604343407094167,0.518016377640188
3,ff,80,0.1948141730536721,0.013284667666335813,0.366813155795441
3,ff,96,0.12811487809251038,0.006653845468290841,0.0
3,ss,0,,,1.0
3,ss,16,0.8924541147034943,0.525595270830361,0.9624356148607932
3,ss,32,0.48359769178907436,0.17224355799822186,0.6920959217798137
3,ss,48,0.46803417029663585,0.11945081543293307,0.6116987511382092
3,ss,64,0.40057746707788094,0.05177199513699891,0.49068042051665234
3,ss,80,0.3191608126138849,0.032062191571819325,0.3897687085868092
3,ss,96,0.2822439950069403,0.027184884487533496,0.0
4,typical,0,,,1.0
4,typical,16,0.27036106823955214,0.142956522878879,0.8054243286516928
4,typical,32,0.31004678356888643,0.13708011752966448,0.5537611943800302
4,typical,48,0.17598090948485975,0.031579376365854755,0.4738500087525529
4,typical,64,0.14218910568346757,0.030314113560239768,0.46916978498168166
4,typical,80,0.19607274677981248,0.013448165188822334,0.4341554943109251
4,typical,96,0.18495895762692138,0.017004282323283586,0.0
4,ff,0,,,1.0
4,ff,16,0.48655804245211165,0.17759031158846345,0.7679076777398319
4,ff,32,0.2884412297145232,0.05937682805104553,0.7052818408395322
4,ff,48,0.32358346367014795,0.04873487393302167,0.44393470540440194
4,ff,64,0.18554141185526818,0.022541551286782282,0.4413320526996528
4,ff,80,0.1174604657639403,0.012334856771872394,0.28334858286130404
4,ff,96,0.10223612191117455,0.009261084899227999,0.0
4,ss,0,,,1.0
4,ss,16,0.9821242907474143,0.5849364085697758,0.8095005449495698
4,ss,32,0.38206787735916614,0.17885360685802915,0.5301248227586693
4,ss,48,0.3746713607740617,0.09334894171144985,0.46458448717129425
4,ss,64,0.2669583316119416,0.04945789513989222,0.46458448717129425
4,ss,80,0.396135663992704,0.04056272501902852,0.3340317368755454
4,ss,96,0.21833020899121236,0.02006523886260402,0.0
