method,seed,heldout_corner,stop_budget,query_reduction_pct,delay_r2,full_delay_r2,delay_r2_gap_to_full,gap_le_0p02,gap_le_0p05,worst_family_delay_r2,worst_variant_delay_r2
gf180_locked_rule,0,ff,80,16.666666666666668,0.908109953417553,0.9190466668087179,0.010936713391164976,True,True,0.34652464359893353,-3.5439071251741536
gf180_locked_rule,0,ss,96,0.0,0.9031895454559776,0.9031895454559776,0.0,True,True,0.6625197589305536,0.34921680242304254
gf180_locked_rule,0,typical,80,16.666666666666668,0.8528021312476759,0.8637624091343532,0.010960277886677305,True,True,0.6858641630661033,0.1710017296816112
gf180_locked_rule,1,ff,80,16.666666666666668,0.9284709399518084,0.9329307470482229,0.00445980709641447,True,True,0.6773882498651462,-2.9611996546396595
gf180_locked_rule,1,ss,96,0.0,0.8958717059403504,0.8958717059403504,0.0,True,True,0.7776468483761302,0.5471026202923134
gf180_locked_rule,1,typical,80,16.666666666666668,0.8640587552348435,0.8582527879601122,-0.005805967274731372,True,True,0.7620689687084534,0.21250339216454062
gf180_locked_rule,2,ff,96,0.0,0.9317737358814759,0.9317737358814759,0.0,True,True,0.5535981319700568,-2.732482151789022
gf180_locked_rule,2,ss,96,0.0,0.9190774484070097,0.9190774484070097,0.0,True,True,0.838607720261443,0.6904817419707788
gf180_locked_rule,2,typical,80,16.666666666666668,0.8777445419662222,0.8821265242304305,0.004381982264208273,True,True,0.742293720888975,0.12617374545337046
gf180_locked_rule,3,ff,96,0.0,0.9187261881853177,0.9187261881853177,0.0,True,True,0.7003664303148774,-1.4397650097210035
gf180_locked_rule,3,ss,96,0.0,0.9043933190137977,0.9043933190137977,0.0,True,True,0.8435480527566737,0.5777646884280228
gf180_locked_rule,3,typical,80,16.666666666666668,0.895848094657503,0.8939046629156105,-0.0019434317418924874,True,True,0.7803609573559283,0.19022975669938347
gf180_locked_rule,4,ff,80,16.666666666666668,0.9303416840091943,0.9340809112489732,0.0037392272397789306,True,True,0.5732247159140079,-2.485367413869348
gf180_locked_rule,4,ss,96,0.0,0.8963071693108448,0.8963071693108448,0.0,True,True,0.7586247858868458,0.4993744795348052
gf180_locked_rule,4,typical,80,16.666666666666668,0.8646484180839191,0.8733489464874629,0.008700528403543739,True,True,0.6939837881064614,-0.10511255348490356
fixed_48,0,ff,48,50.0,0.79303751349098,0.9190466668087179,0.126009153317738,False,False,-0.0520858821248491,-9.095282546865105
fixed_48,0,ss,48,50.0,0.8752020728676096,0.9031895454559776,0.02798747258836798,False,True,0.441607733662584,-0.02658016820957898
fixed_48,0,typical,48,50.0,0.8272316212535233,0.8637624091343532,0.03653078788082986,False,True,0.6047164838896735,-0.3337756876467666
fixed_48,1,ff,48,50.0,0.8699298232255637,0.9329307470482229,0.0630009238226592,False,False,0.33857154171172343,-4.872033833807579
fixed_48,1,ss,48,50.0,0.8626824752539205,0.8958717059403504,0.03318923068642987,False,True,0.7215650981227197,0.1545890802826363
fixed_48,1,typical,48,50.0,0.8153003380744994,0.8582527879601122,0.04295244988561275,False,True,0.6630864055037412,-0.1728889815871979
fixed_48,2,ff,48,50.0,0.782643426436044,0.9317737358814759,0.14913030944543193,False,False,0.09422231341410481,-5.032296709010218
fixed_48,2,ss,48,50.0,0.8886717383599854,0.9190774484070097,0.030405710047024304,False,True,0.8116979642105956,0.6340103908652468
fixed_48,2,typical,48,50.0,0.8513375518062751,0.8821265242304305,0.030788972424155348,False,True,0.6578859715348486,-0.06273164932745656
fixed_48,3,ff,48,50.0,0.7705683098318936,0.9187261881853177,0.1481578783534241,False,False,0.06105927792451238,-6.776813995460864
fixed_48,3,ss,48,50.0,0.8787305451558888,0.9043933190137977,0.025662773857908938,False,True,0.7501929031435218,0.5187770867232728
fixed_48,3,typical,48,50.0,0.8531077949820466,0.8939046629156105,0.04079686793356396,False,True,0.40577390379649525,-0.19675348611626098
fixed_48,4,ff,48,50.0,0.8319330477481703,0.9340809112489732,0.10214786350080285,False,False,-0.05430669054680615,-7.307202039703627
fixed_48,4,ss,48,50.0,0.8860442356032119,0.8963071693108448,0.01026293370763287,True,True,0.7696270259985114,0.5343234564886041
fixed_48,4,typical,48,50.0,0.8581681619676156,0.8733489464874629,0.015180784519847279,True,True,0.6877570958358094,0.04087216330116972
fixed_64,0,ff,64,33.333333333333336,0.8778908982871395,0.9190466668087179,0.04115576852157843,False,True,0.2072356644064962,-7.784730323915442
fixed_64,0,ss,64,33.333333333333336,0.8862279336167268,0.9031895454559776,0.016961611839250823,True,True,0.5305073276767645,0.09106931486598668
fixed_64,0,typical,64,33.333333333333336,0.8485369149492267,0.8637624091343532,0.015225494185126531,True,True,0.6401751007538575,0.18492403336817698
fixed_64,1,ff,64,33.333333333333336,0.9053559011864147,0.9329307470482229,0.02757484586180814,False,True,0.56297185795018,-5.392462091379768
fixed_64,1,ss,64,33.333333333333336,0.8937479658080938,0.8958717059403504,0.0021237401322565796,True,True,0.782496017028524,0.5748871577759863
fixed_64,1,typical,64,33.333333333333336,0.8641273177003169,0.8582527879601122,-0.005874529740204748,True,True,0.7193877207664194,0.22992377899673566
fixed_64,2,ff,64,33.333333333333336,0.8613548579862437,0.9317737358814759,0.07041887789523227,False,False,0.2821154124597446,-5.495030144264279
fixed_64,2,ss,64,33.333333333333336,0.904887909492169,0.9190774484070097,0.01418953891484065,True,True,0.7897784046423357,0.5522530714800856
fixed_64,2,typical,64,33.333333333333336,0.8447111681720151,0.8821265242304305,0.037415356058415394,False,True,0.65212395080839,-0.1875399517243792
fixed_64,3,ff,64,33.333333333333336,0.8244115701071444,0.9187261881853177,0.09431461807817332,False,False,0.40019735112726873,-4.644435812273475
fixed_64,3,ss,64,33.333333333333336,0.883827422153581,0.9043933190137977,0.020565896860216704,False,True,0.7479479778713627,0.5034973185560425
fixed_64,3,typical,64,33.333333333333336,0.872910571459097,0.8939046629156105,0.02099409145651354,False,True,0.7446691377827988,-0.07915609711434701
fixed_64,4,ff,64,33.333333333333336,0.9052970009386916,0.9340809112489732,0.028783910310281602,False,True,0.4297445317142268,-4.498316160046769
fixed_64,4,ss,64,33.333333333333336,0.8524253774789771,0.8963071693108448,0.04388179183186769,False,True,0.7405302892392289,0.48794566351025714
fixed_64,4,typical,64,33.333333333333336,0.8517256064180281,0.8733489464874629,0.021623340069434782,False,True,0.7164219157237761,-0.2213090089301637
